trajectory_id,mean_sojourn_time,variance
287,1.4707957074344702,0.950840307137393
288,1.771009587497531,1.2383856990498832
289,1.764940318568569,1.4402393642822233
290,1.541591639858968,0.9880765438056086
291,1.8654423085429435,1.5904488562375851
292,1.7798421113216938,1.266334099293403
293,1.7115576438447333,1.1880657332398188
294,1.6845432114892707,1.3728671081161063
295,1.6433211215348147,1.1575985733372605
296,1.5683633828536958,0.9262856999583335
297,1.9962988263238062,2.0328298689982494
298,1.6072761000112512,1.1245726763824724
299,1.8069085994227734,1.3796524385254285
300,1.9306058213461634,2.024075365365885
301,1.6671926936386383,1.124381691924126
302,1.7537574921277383,1.7081003238139767
303,1.842681311479607,1.5155415898218672
304,1.7047049387434876,1.4446475744684462
305,1.7310877826416955,1.1818769951728534
306,1.8991310716812484,2.1602889138732926
307,1.900358654079987,1.8436979058310048
308,1.851451249815231,1.7625859925093479
309,2.0120653837989884,1.849111724231205
310,1.6578412379992886,0.9951231954113889
311,1.713823009812473,1.2202389533424196
312,1.7205363034630818,1.1314401221310775
313,1.8377672668051097,2.0105280100707534
314,1.6321137363201494,1.043142092567954
315,1.6310500479268981,1.0783650176462694
316,1.7273230556798103,1.3950981056716243
317,1.6997895313449711,1.1823431845350443
318,1.615656192758804,1.2081990286843516
319,1.757750231751005,1.3594750254888823
320,1.5811238699896137,1.0660373753459502
321,1.7155407950558026,1.5324285550953125
322,1.7815219964298685,1.31367572165983
323,1.6628646218871754,1.0605435981905442
324,1.7555348288327124,1.3142648377432653
325,1.8046875296318319,1.8733063327058948
326,1.5836850102601643,0.9313749263487786
327,1.4974725229553247,0.9014900160708715
328,2.009474046603214,2.2485644510145724
329,1.668409831535157,1.2079069196583807
330,1.7619385510116412,1.2330073562941972
331,1.6342511745362056,1.2219368498422438
332,1.6554976044724123,1.2195002067609955
333,2.0922738299424344,2.2238109173640326
334,1.6544571025878183,1.3587635235296172
335,1.6447212496996553,0.939335930892207
336,1.5846127548104612,1.1924630636296043
337,1.6342617685690621,1.2438591078387005
338,1.6511176451218375,1.021680509521176
339,1.651709442722793,1.4073644729754489
340,1.7622720535744691,1.5967980262566628
341,1.8272903520585315,2.5743551487450578
342,1.510846574950174,0.9229634579135884
343,1.8232550480425773,2.4977201293267592
344,1.979300838988178,2.2002216200990246
345,1.8053455026704819,1.531219255595354
346,1.8813365461524585,1.4880548474949542
347,1.7792743525901535,1.1584911957339479
348,1.6680803113049871,1.3615829774124109
349,1.690057374380209,1.3517109656721262
350,2.22374910676113,3.1070648992375904
351,1.6208452113041056,1.228008479462516
352,1.480185678946556,0.800045071385936
353,1.9284900346330318,1.8320986515926005
354,1.7696857880657717,1.6777421631118654
355,2.145432402028583,2.680926963101626
356,1.6954411559311522,1.1954587004061428
357,1.722898516851581,1.3177473611984813
358,1.782990015185695,1.31554544770922
359,1.973418389414833,2.1341885099530256
360,1.6214902824057364,1.0780211006181486
361,1.8642488661794214,1.8771873575726776
362,1.9074897690792183,2.1029445487340888
363,1.6345123062438025,1.1608910620622392
364,1.7189902203021694,1.227215537997348
365,1.6780045168856306,1.3586486981156924
366,1.6863530155728645,1.062556866320827
367,1.5187996685024554,1.0382014746505315
368,1.5157048058220803,0.9818129461530343
369,1.6592969970573934,1.2565952042136679
370,1.650588576961791,1.21628395192945
371,1.6361213280602747,1.320872465366385
372,1.6048899535065209,1.1381819198702303
373,1.523297094211099,0.9597015803203722
374,1.821343843714737,1.7670295523385524
375,1.9308741798672537,1.5644997260181837
376,1.7634715375294674,1.3855104690099223
377,1.5001958573622025,0.903082496134949
378,1.978739835800319,2.0905675438825213
379,1.9246788520893319,2.8375180994856573
380,1.5341264350546375,1.2873217349406718
381,1.6839438347864004,1.3906366409064796
382,1.821215322667907,1.4188894231984859
383,1.4490699134921339,0.8602951622227888
384,1.588408923576297,1.111048683521129
385,1.5203968568028505,0.8829978243309665
386,2.03877383076222,2.222181118969432
387,1.5221723620680385,0.9524837703622863
388,1.6519786391841547,1.035258499813184
389,1.9185894313931462,2.657018563302207
390,1.6946456867944495,1.348679130435029
391,1.7795786627254657,1.2751877343372158
392,1.861489469854187,1.6865823236555628
393,1.537518101267771,0.9511549852456654
394,1.8772146091608746,1.5210208047351539
395,1.672019246138734,1.2300363681338669
396,1.4393567277828412,0.8406882849501419
397,1.7752066560613027,1.3415802441891524
398,1.66000558905637,1.0689575151772521
399,1.7988418818884775,1.7133417281922876
400,1.5336303228130423,0.8882635128693429
401,1.9972473033051883,1.7882958782851968
402,1.465113015980658,0.9624816610640372
403,1.8271236084922813,1.4682946857219727
404,1.5912989657303176,1.112297042444912
405,1.7038049611499178,1.1444530581431214
406,1.5077928431253642,0.8168829111142649
407,1.5679007841020116,0.9388387893736536
408,1.726479089572979,1.1271633777424452
409,1.918265938644989,1.8633494265947321
410,1.7057261129274333,1.0975900726135541
411,1.8515510938638235,1.8354355651799223
412,1.6062350938827001,1.1287553111195776
413,1.8130923229175222,1.9058626087691921
414,1.783252703923567,1.6460102594870794
415,1.6504735300913655,1.085239128707662
416,1.624572365915576,1.0474497731844916
417,1.6110936750843758,1.0947583344580725
418,1.8066547321202886,1.5335331193004076
419,1.633528633608166,1.1786759553534194
420,1.8701009222193583,1.7907757261621136
421,1.934717726639718,1.863481857872608
422,1.8787906979453002,1.7359998684369031
423,1.6849202330589952,1.0976170540426688
424,1.697184118580538,1.0934998517348733
425,1.6223010952815773,1.0787631702163862
426,1.4903582480168094,0.9005207487431278
427,1.5748363758523964,1.1177605389054526
428,1.914960592920517,1.724517521103687
429,1.8614114343895194,1.7984776894625276
430,1.8203474495642686,1.8735130239101494
431,1.5919373032194066,1.1059604782454662
432,1.6509958250944827,1.0534138012957541
433,1.6017146758309668,0.9898421198811954
434,1.8525835837714124,1.5527398463383761
435,1.789891136502418,1.2997328632863612
436,1.830487187433793,1.726877330955186
437,1.6534762421114562,1.2683579632777588
438,1.6390961467332235,1.0689669103499657
439,1.832320946271207,1.79375984256636
440,1.654186210762194,1.2476721908441086
441,1.7897839279942367,1.4377713037944706
442,1.9591514864115538,1.5895410279453746
443,1.660333118691745,1.2175849943694028
444,1.7595372215956822,1.3976930614239576
445,1.8331965590446397,1.7646835585129153
446,1.7532082245454668,1.7500181345555954
447,1.8133324696131767,1.3273520963860546
448,1.7361236980033108,1.514596865639267
449,1.5467633178557927,0.9512060452155447
450,1.5522507079090329,1.019964509343066
451,1.6685203210442485,1.4405351298914906
452,1.6845970646951847,1.295394059735531
453,1.6013618109585026,1.2633610570553406
454,1.7937393970270314,1.4184337642192628
455,1.5553610020157655,1.1567236518239135
456,1.8357487550650944,1.7495595993170905
457,1.762155923076535,1.2517434053567411
458,1.7134414238085334,1.143694963843893
459,1.7479156155621696,1.4927497034883277
460,1.554081004890489,0.9933535698249925
461,1.7089211607352262,1.13230347879995
462,1.604620724182757,1.029928124877635
463,1.8141622523044438,1.4480917866983418
464,1.7332824036826475,1.2505811467805796
